query,accession,title,organism,n_samples,date,has_pub,type,platform,summary
multiple sclerosis AND control AND GPL570,GSE59085,The Role of Interleukin-11 in the Development of the Autoimmune Response in Multiple Sclerosis,Homo sapiens,22.0,2015/05/15,True,Expression profiling by array,570,"our results introduce interleukin (il)-11 as a new cytokine that may play a role in the development of the autoimmune response in patients with relapsing remitting multiple sclerosis (rr ms). il-11 was found to be the highest up-regulated cytokine in the serum and cerebrospinal fluid (csf) from patients with clinically isolated syndrome (cis) suggestive of ms. it was also increased in the serum and csf of patients with clinically definitive rrms and during the clinical relapses of the disease. cd4+ cells represent a predominant cell source of il-11 in the peripheral circulation, and the percentage of il-11+cd4+ cells is significantly increased in cis patients in comparison to healthy controls (hcs). furthermore, we have identified il-11 as a new th17-promoting cytokine. il-11 induces a differentiation of naïve cd4+ t cells into th17 cells, as well as th17 memory cell expansion, characterized by secretion of il-17a, il-17f, il-21 and il-22. since the th17 cytokines il-17f, il-21 and tnf- induced differentiation of naïve cells in the il-11-secreting cd4+ cells, we propose that cross-talk between il-11+cd4+ and th17-cells may play a role in the initiation and propagation of the autoimmune response in rrms. pbmcs were separated from 15 cis patients and 7 hcs, and the total rna was extracted and used for gene array hybridization as described previously. to detect differential gene expression profiles between the cis patients and hcs, a two class paired test of significance analysis was used."
multiple sclerosis AND control AND GPL570,GSE37750,Gene expression data: Plasmacytoid dendritic cells (pDCs) of healthy donors and MS patientes before and after IFN beta treatment,Homo sapiens,26.0,2015/05/02,True,Expression profiling by array,570,"multiple sclerosis (ms) is an immune-mediated chronic inflammatory disease affecting the central nervous system. the cause of ms is not known and the mechanism of ifn-beta, a disease-modifying treatment (dmt) approved for ms, is not well-understood. oligonucleotide microarrays were used to study gene expression in plasmacytoid denditic cells (pdcs) which are antigen-presenting cells implicated in ms pathogenesis. we analyzed gene expression in pdcs of healthy controls, untreated and ifn-beta treated ms patients. we were able to identify 60 genes which were abnormally expressed in untreated ms patients and were corrected after treatment with ifn-beta."
multiple sclerosis AND control AND GPL570,GSE53716,IFNb-1a in-vivo treatment induces the expression and signaling of IFNAR1 and inhibits Th17 responses in PBMCs derived from CIS patients,Homo sapiens,12.0,2014/05/15,True,Expression profiling by array,570,"ifnb has been used as a first line therapy for relapsing remitting multiple sclerosis (rrms). since only a few studies have addressed the role of endogenous ifnb in the pathogenesis of the disease, our objective was to characterize its role in the transcriptional regulation of pathogenic th17 cytokines in patients with rrms. in-vitro studies have demonstrated that ifnb inhibited il-17a, il-17f, il-21, il-22 and ifn-b secretion in cd4+ lymphocytes through the induction of suppressor of cytokine secretion (socs)1 and 3. we found that patients with rrms have increased serum and cerebrospinal fluid (csf) th17 (il-17a and il-17f) cytokine levels in comparison to the control subjects, suggesting that deficient endogenous ifnbeta secretion and/or signaling may contribute to the dysregulation of those pathogenic cytokines in cd4+ cells. we identified that the endogenous ifnb from serum of rrms patients induced a significantly lower ifn-inducible gene expression in comparison to healthy controls (hcs). in addition, in-vitro studies have revealed a deficient endogenous and exogenous ifnb signaling in cd4+ cells derived from ms patients. interestingly, upon inhibition of the endogenous ifnb signaling by silencing interferon regulatory factor (irf)7 gene expression, the resting cd4+ t cells secreted significantly higher level of il-17a, il-17f, il-21, il-22 and il-9, suggesting that endogenous ifnb suppresses the secretion of these pathogenic cytokines. in-vivo recombinant ifnb-1a treatment induced ifnar1 and its downstream signaling molecules’ gene expression, suggesting that treatment may reconstitute a deficient endogenous ifnbeta regulation of the cd4+ t-cells’ pathogenic cytokine production in ms patients."
multiple sclerosis AND control AND GPL570,GDS4994,IFNβ-1a in vivo treatment effect on CIS multiple sclerosis patients: peripheral blood mononuclear cells,Homo sapiens,12.0,2014/05/15,True,Expression profiling by array,570,analysis of pbmcs from patients with clinically isolated syndrome suggestive of multiple sclerosis (cis) after 12 months of ifnβ-1a treatment. all patients exhibited a favorable response to ifn-β-1a treatment. results provide insight into the role of endogenous ifn-β in the pathogenesis of ms.
multiple sclerosis AND control AND GPL570,GSE43592,MicroRNA regulate immune pathways in T-cells in multiple sclerosis (MS),Homo sapiens; synthetic construct,40.0,2013/08/02,True,Expression profiling by array; Non-coding RNA profiling by array,570;14613,this superseries is composed of the subseries listed below.
multiple sclerosis AND control AND GPL570,GSE43591,MicroRNA regulate immune pathways in T-cells in multiple sclerosis (MS) mRNA,Homo sapiens,20.0,2013/08/02,True,Expression profiling by array,570,"micrornas are small noncoding rna molecules that are involved in the control of gene expression. to investigate the role of microrna in multiple sclerosis (ms), we performed global microarray analyses of mrna and microrna in peripheral blood t-cells from relapsing-remitting ms patients and controls. we identified 2,452 regulated genes and 21 regulated microrna that differed between ms patients and controls. by kolmogorov-smirnov test, 20 of 21 regulated microrna were shown to affect the expression of their target genes, many of which are involved in the immune system. light (tnfsf14) was a microrna target gene significantly decreased in ms. the down-regulation of mir-494 and predicted mrna-target light was verified by real-time pcr and we could demonstrate decreased serum levels of light in ms. thus, regulated microrna were significantly associated with both gene and protein expression of a molecule in immunological pathways. these findings indicate that microrna may be important regulatory molecules in t-cells in ms."
multiple sclerosis AND control AND GPL570,GSE38010,Janus-Like Opposing Roles of CD47 in Autoimmune Brain Inflammation in Human and Mice,Homo sapiens,7.0,2012/06/24,True,Expression profiling by array,570,gene transcripts and proteins expressed during disease pathogenesis identify targets for therapy. we performed microarray analysis of histologically characterized multiple sclerosis (ms) brain lesions in comparison with control brain samples to identify differentially expressed molecules. we identified cd47 as a target of interest and studied its biology in ms and eae.
multiple sclerosis AND control AND GPL570,GDS4218,Multiple sclerosis: brain lesions,Homo sapiens,7.0,2012/06/24,True,Expression profiling by array,570,analysis of histologically characterized multiple sclerosis (ms) brain lesions. ms is an inflammatory autoimmune disease which progresses to demyelination of the brain and spinal cord. results provide insight into molecular events during ms pathogenesis.
multiple sclerosis AND control AND GPL570,GSE21942,Expression data from peripheral blood mononuclear cells in multiple sclerosis patients and controls,Homo sapiens,29.0,2011/07/01,True,Expression profiling by array,570,multiple sclerosis (ms) is a neurodegenerative disease with a presumed autoimmune component. expression profiling in immune cells can therefore be used in order to identify genes and pathways involved in ms pathogenesis. we conducted a genome-wide expression study in peripheral blood mononuclear cells (pbmc) from 12 ms patients and 15 controls in order to identify differentially expressed genes and pathways in ms.
multiple sclerosis AND control AND GPL570,GDS3920,Multiple sclerosis: peripheral blood mononuclear cells,Homo sapiens,29.0,2011/07/01,True,Expression profiling by array,570,"analysis of peripheral blood mononuclear immune cells from multiple sclerosis (ms) patients and unaffected controls. ms is an inflammatory, neurodegenerative disease. results provide insight into the molecular mechanisms underlying ms etiology."
multiple sclerosis AND control AND GPL570,GSE26484,"Sema4A, a novel serum marker of multiple sclerosis, implicates Th17 pathology and efficacy of interferon-β.",Homo sapiens,10.0,2011/06/01,True,Expression profiling by array,570,"background: multiple sclerosis (ms) is a demyelinating autoimmune disease of the central nervous system and the leading cause of lasting neurological disabilities in young adults. increasing evidence suggests that early treatment prevents the development of disability. however, there have been no reliable serum markers to assist the early diagnosis. in addition, interferon (ifn)-β, which is the major treatment for ms, is not always effective. therefore, the development of simple serological test to help the early diagnosis and predict responsiveness to ifn-β is of clinical importance. on the other hand, a transmembrane-type semaphorin, sema4a, has been implicated in experimental autoimmune encephalomyelitis (eae) by regulating helper t (th) cell differentiation. thus, we aimed to identify the implications of sema4a in diagnosis and pathogenesis of ms. methods: we assayed serum sema4a in 59 patients with relapsing-remitting ms (rrms), 22 patients with clinically isolated syndrome (cis) and 126 patients with other neurological diseases (ond) by developing a sandwich elisa. to identify a source of soluble sema4a and characteristics of ms patients with high levels of sema4a, we analyzed peripheral blood mononuclear cells (pbmcs) from ms patients and healthy controls by flow cytometry (facs) and gene chip analysis. the effect of sema4a was examined in vitro and in vivo using an eae model. findings: sema4a was significantly increased in sera of patients with ms and cis compared to controls. sema4a expression was increased on the surface of dcs in ms patients and shed from these cells in a metalloproteinase-dependent manner, affecting the th17skewing. in addition, patients with high sema4a levels exhibited more severe disabilities, and ifn-β treatment was not beneficial to those patients. interpretation: measuring sema4a is a practical laboratory test to help diagnose ms and to predict responsiveness to ifn-β therapy. microarray analysis showed that metalloproteinases such as adam 10 and mmps 1, 3, 9, 12 and 25, which are reported to be involved in the pathogenesis of ms, were increased in pbmcs from ms patients with high sema4a levels compared to those with low sema4a and healthy controls. however, adam 17 and mmp 2 and 7 did not correlate with sema4a levels. taken together, these findings strongly suggest that sema4a, abundantly expressed on monocytes and dcs in ms patients, is enzymatically cleaved and shed in a portion of the patients, which contributes to the high soluble sema4a detected by the elisa."
multiple sclerosis AND control AND GPL570,GDS4152,Multiple sclerosis patients with high serum semaphorin4A levels: peripheral blood cells,Homo sapiens,10.0,2011/06/01,True,Expression profiling by array,570,analysis of peripheral blood from ms patients with high or low serum levels of transmembrane-type semaphorin sema4a. ms patients with high sema4a levels have more severe disabilities and are unresponsive to ifn-β treatment. results provide insight into role of sema4a in the pathogenesis of ms.
multiple sclerosis AND control AND GPL570,GSE13732,CIS (multiple sclerosis) (case-control) (time-series),Homo sapiens,113.0,2008/11/26,True,Expression profiling by array,570,"clinically isolated syndrome (cis) refers to the earliest clinical manifestation of multiple sclerosis (ms). currently there are no prognostic biological markers that accurately predict conversion of cis to clinically definite ms (cdms). furthermore, the earliest molecular events in ms are still unknown. we used microarrays to study gene expression in naïve cd4+ t cells from 37 cis patients at time of diagnosis and after one year. supervised machine-learning methods were used to build predictive models of disease conversion. we identified 975 genes whose expression segregated cis patients into 4 distinct subgroups. a subset of 108 genes further discriminated patients from one of these (group#1) from other cis patients. remarkably, 92% of patients from group #1 converted to cdms within 9 months. consistent downregulation of tob1, a critical regulator of cell proliferation, was characteristic of group #1 patients. decreased tob1 expression at the rna and protein levels was also confirmed in experimental autoimmune encephalomyelitis (eae). finally, a genetic association was observed between tob1 variation and ms progression in an independent cohort. these results indicate that cis patients at high risk of conversion have impaired regulation of t cell quiescence resulting in earlier activation of pathogenic cd4+ cells. keywords: disease state: cis (clinically isolated syndrome - multiple sclerosis) versus control. time series: some patients and controls were resampled approximately one year later"
multiple sclerosis AND control AND GPL570,GSM931818,Chronic plaque 2 (CP2),Homo sapiens,0.0,2012/06/24,False,,570,ms brain lesion (after inflammation has subsided -late stage)
multiple sclerosis AND control AND GPL570,GSM931817,Chronic plaque 1 (CP1),Homo sapiens,0.0,2012/06/24,False,,570,ms brain lesion (after inflammation has subsided -late stage)
multiple sclerosis AND control AND GPL570,GSM931816,Chronic active plaque 2 (CAP2),Homo sapiens,0.0,2012/06/24,False,,570,ms brain lesion (following demyelination-active inflammation)
multiple sclerosis AND control AND GPL570,GSM931815,Chronic active plaque 1 (CAP1),Homo sapiens,0.0,2012/06/24,False,,570,ms brain lesion (following demyelination-active inflammation)
multiple sclerosis AND control AND GPL570,GSM931814,Active plaque (AP),Homo sapiens,0.0,2012/06/24,False,,570,ms brain lesion (early stage-active inflammation)
multiple sclerosis AND control AND GPL10558,GSE136411,Design of an unbiased machine learning workflow to predict Multiple Sclerosis staging from blood transcriptome,Homo sapiens,336.0,2020/09/01,True,Expression profiling by array,6104;10558,construction of gene expression-based classifiers to predict the different multiple sclerosis stages from peripheral blood mononuclear cells (pbmc) transcriptome of ms patients and controls.
multiple sclerosis AND control AND GPL10558,GSE131282,"Multiple sclerosis cortical normal-appearing grey matter, grey matter lesions, and control grey matter",Homo sapiens,184.0,2020/01/13,True,Expression profiling by array,10558,this superseries is composed of the subseries listed below.
multiple sclerosis AND control AND GPL10558,GSE131281,Multiple sclerosis cortical normal-appearing grey matter and control grey matter,Homo sapiens,106.0,2020/01/13,True,Expression profiling by array,10558,"multiple sclerosis (ms) is a chronic inflammatory demyelinating disease of the brain. among characteristics of ms pathology are cortical grey matter abnormalities, which have been linked to clinical signs such as cognitive impairment. to understand ms cortical grey matter pathogenesis, we performed differential gene expression analysis of ms normal appearing grey matter (nagm) and control grey matter. hla-drb1 is the transcript with highest expression in ms nagm with a bimodal distribution among the examined cases. genotyping revealed that every case with the ms-associated hla-dr15 haplotype also shows high hla-drb1 expression. quantitative immunohistochemical analysis confirmed the higher expression of hla-drb1 in hla-drb1*15:01 cases at the protein level. analysis of grey matter lesion size revealed a significant increase of cortical lesion size in cases with high hla-drb1 expression. our data indicate that increased hla-drb1 expression in the brain of ms patients may be an important factor in how the hla-dr15 haplotype contributes to ms risk in the target organ."
multiple sclerosis AND control AND GPL10558,GSE131279,Multiple sclerosis cortical normal-appearing grey matter and grey matter lesions,Homo sapiens,78.0,2020/01/13,True,Expression profiling by array,10558,"multiple sclerosis (ms) is a chronic inflammatory demyelinating disease of the brain. among characteristics of ms pathology are cortical grey matter abnormalities, which have been linked to clinical signs such as cognitive impairment. to understand ms cortical grey matter lesion pathogenesis, we performed differential gene expression analysis of ms cortical normal-appearing grey matter (nagm) and grey matter lesions. hla-drb1 is the transcript with highest expression in ms nagm with a bimodal distribution among the examined cases. genotyping revealed that every case with the ms-associated hla-dr15 haplotype also shows high hla-drb1 expression. quantitative immunohistochemical analysis confirmed the higher expression of hla-drb1 in hla-drb1*15:01 cases at the protein level. analysis of grey matter lesion size revealed a significant increase of cortical lesion size in cases with high hla-drb1 expression. our data indicate that increased hla-drb1 expression in the brain of ms patients may be an important factor in how the hla-dr15 haplotype contributes to ms risk in the target organ."
multiple sclerosis AND control AND GPL10558,GSE107145,Intrathecal delivery of human ESC-derived mesenchymal stem cell spheres promotes recovery of a primate EAE model,Homo sapiens,3.0,2018/08/30,True,Expression profiling by array,10558,"nonhuman primate experimental autoimmune encephalomyelitis (eae) is a valuable model for multiple sclerosis an inflammatory demyelinating disease in the central nervous system (cns). human embryonic stem cell-derived mesenchymal stem cells (emsc) are effective in treating murine eae. yet, it remains unknown whether the emsc efficacy is translatable to humans. here we induced a primate eae model in cynomolgus monkeys and transported emsc in spheres (emscsp) to preserve the cell viability under ambient conditions. first, single cells dissociated from emscsp were intravenously infused into normal and eae monkeys. the cells reached various organs including cns but diminished rapidly. to increase the number and viability of emsc in the cns, we injected emscsp intrathecally (i.t.) into the subarachnoid cavity of eae monkeys multiple times post-onset and upon relapses during a 3-month observation. the clinical symptoms in these animals relieved rapidly following the injections and eventually disappeared. whereas, symptoms in a vehicle control-injected eae monkey remained and reduced slowly. consistently, reduced lesions and active regeneration were found in the cns of the emscsp-treated monkeys compared to the control. emsc were found in the cns long after the i.t. injections and some of the cells had differentiated into neurons and oligodendrocytes. supporting evidence demonstrated that emscsp cultured in cerebrospinal fluid from the eae monkeys largely converted to neural cells with elevated expression of genes for neuronal markers, neurotropic factors, and neuronal myelination. together, this study suggests that i.t. injection of ambiently transported emscsp can treat eae in nonhuman primates via remyelination and transdifferentiation, which shall expedite the clinical application of emsc in patients."
multiple sclerosis AND control AND GPL10558,GSE81910,Remyelination is correlated with regulatory T cell induction following human EBNPC transplantation,Homo sapiens,17.0,2017/02/10,True,Expression profiling by array,10558,"we have recently described sustained clinical recovery associated with dampened neuroinflammation and remyelination following transplantation of neural precursor cells (npcs) derived from human embryonic stem cells (hescs) in a viral model of the human demyelinating disease multiple sclerosis. in order to test the general applicability of npc transplantation, we developed a new method for the differentiation and purification of npcs from pluripotent stem cells (pscs). herein, we investigated the therapeutic potential of npcs generated from human induced pluripotent stem cells (ipscs) in mice infected with the neurotropic jhm strain of mouse hepatitis virus (jhmv) that induces an immune-mediated demyelinating disease sharing clinical and histologic similarities to the human demyelinating disease multiple sclerosis (ms). jhmv-infected mice intraspinally transplanted with eb (embryoid body)-derived npcs (eb-npcs) exhibited decreased accumulation of cd4+ t cells in the central nervous system that was concomitant with reduced demyelination at the site of injection. dampened neuroinflammation and remyelination was correlated with a transient increase in cd4+foxp3+ regulatory t cells (tregs) concentrated within the peripheral lymphatics. importantly, pathological improvements were limited in comparison to our previous report on hesc-derived npcs and did not result in significant clinical recovery. further examination of eb-npcs by whole genome expression analysis showed them to be significantly different than our previously published cells. these findings highlight an intrinsic disparity in the therapeutic potential of npcs generated from pluripotent stem cells. pluripotent stem cells were differentiated to neural precursor cells (npcs) by two separate methods to study the differences in final cell type. the first method was a 4 factor 9 day directed differentiation. this was applied to wa09 embryonic stem cells (escs) as well as two lines of induced pluripotent stem cells (ipscs) that were developed in our lab hdf51ipsc and hdf69ipsc. the other method was a multistep process that included transition through an embryoid body (eb) stage. this was done with the used on the hdf51ipcs line. for controls we used the original pluripotent stem cell lines (wa09, hdf51ipsc and hdf69ipsc) as well as hdf417 which is a human dermal fibroblast line collected by our lab."
multiple sclerosis AND control AND GPL10558,GSE71634,Gene expression profiling of healthy controls upon Interferon-beta stimulation,Homo sapiens,40.0,2015/08/03,True,Expression profiling by array,10558,"this experiment was carried out in the context of a pharmacogenetic study of long-term (4-year follow-up) response to interferon-beta treatment in two cohorts of italian multiple sclerosis patients, to identify genetic variants (snps) that may influence response to ifn-beta. we integrated results from meta-analysis of the two cohorts with gene expression profiling of ifnβ stimulated pbmcs from 20 healthy controls and eqtl analyses, to look at possible enrichment of ifn-beta induced genes with genes mapped by top-ranking meta-analyzed snps."
multiple sclerosis AND blood AND GPL6947,GSE17048,Multiple Sclerosis Blood Cell mRNA Transcriptome,Homo sapiens,144.0,2010/04/02,True,Expression profiling by array,6947,"we measured mrna expression for all known genes in whole blood from 144 individuals, 99 with ms (43 ppms, 36 rrms and 20 spms). analysis of gene expression and genotype in these individuals has indicated the dominant genetic association with t cell regulation is matched by the dominant pattern of dysregulation of t cell gene expression in ms and its clinical subtypes."
neurodegeneration AND patient AND control AND GPL570,GSE4773,Greene-5P01NS017771-220003,Homo sapiens,21.0,2006/06/06,False,Expression profiling by array,570,"parkinson's disease is a prevalent neurodegenerative disorder for which there is no cure. the cause of pd symptoms is loss of dopamine neurons in the midbrain, but it is not known why these neurons die. pesticide exposure is epidemiologically associated with pd, and administration of the organic pesticide rotenone to rats recapitulates most of the behavioral, neurochemical, and neuropathological findings in pd, including specific death of dopamine neurons. we have developed an in vitro model of rotenone toxicity using a dopaminergic cell line (sk-n-mc neuroblastoma cells) that mimics many of the cellular changes seen with in vivo rotenone toxicity and with pd, such as alpha-synuclein aggregation and oxidative damage. we are currently using this simple model to explore mechanisms of dopaminergic neurodegeneration, with our ultimate goal being the discovery of novel mechanisms for dopaminergic neuroprotection in pd. we will examine gene expression profiles of cultured sk-n-mc cells at several time points during rotenone exposure to determine pathways involved in rotenone toxicity and dopaminergic degeneration. we will compare these profiles to baseline profiles of rodent dopaminergic neurons that we have already obtained, as well as to profiles of dopamine neurons from rotenone-treated rats that we will obtain in the near future. we will also compare these data to published results from sn neurons from human pd patients. this technique will not only help us to detect gene expression changes relevant to dopaminergic neurodegeneration in pd, but it will allow us to determine if the sk-n-mc system can be reliably used to screen for neuroprotective therapies for pd. we anticipate that sk-n-mc cells will show a relevant subset of the gene changes seen in dopamine neurons in vivo and that this will guide us in the sorts of mechanisms and drugs that can be screened in this system. chronic exposure to low levels of rotenone causes changes in gene expression in sk-n-mc cells that sensitize the cells to toxic insults. we also hypothesize that there are several compensatory protective pathways that are stimulated by chronic rotenone, although these pathways are ultimately ineffective at preventing damage. we anticipate that gene expression profiling of rotenone-treated cells over time will suggest several novel strategies for neuroprotective intervention. sk-n-mc cells will be grown in three different media: media only, vehicle (etoh), and rotenone (5 nm). all current experimental evidence in our lab indicates that vehicle-treated cells are indistinguishable from media-only cells. rotenone-treated cellls have a stereotypical response in culture. at one week, the only noticed change is an increase in alph-synuclein aggregation. at two weeks, evidence of increased oxidative stress appears (increased protein carbonyls and lipid peroxidation). at four weeks, the cells are markedly sensitized to oxidative challenge with h2o2. therefore, we will examine gene expression at baseline, and during 1, 2, and 4 weeks of rotenone treatment. three experiments will be performed, each lasting 4 weeks. for each experiment, three separate dishes of vehicle-treated, and rotenone-treated cells will be harvested at 1, 2, and 4 weeks (18 independent samples). untreated, media-only cells will be harvested after 1 week in vitro to serve as baseline cells. total rna will be isolated. an equal amount of rna from one dish per experiment per group will be used to compose the final samples. therefore, each independent sample will consist of rna from 3 separate experiments. this will allow us to take advantage of a pooling strategy, yet not sacrifice technical and biological replication. 21 samples will be sent to the consortium. three will be from untreated cells. nine will be vehicle-treated at 1, 2, and 4 weeks (3 each). nine will be rotenone-treated at 1, 2 , and 4 weeks (3 each). each sample will be labeled and hybridized to one affymetrix human genome u133 plus 2.0 gene chip. with assistance of the consortium, we will analyze the data using the signifiance analysis of microarrays (sam) program and self-organizing map algorithms. keywords: time-course"
